question_id,new_field_code
297,PC-03
298,CC-12
299,PC-03
300,CC-12
301,QL-01
302,AT-08
303,CC-12
304,PC-03
305,PH-23
306,GT-04
307,CC-12
308,QL-01
309,PC-03
310,ICU-13
311,PC-03
312,QL-01
313,CC-12
314,PC-03
315,PH-23
316,GT-04
317,PC-03
318,PH-23
319,GT-04
320,ICU-13
321,PC-03
322,NC-05
323,GT-04
324,QL-01
325,CC-12
326,PC-03
327,CC-12
328,CC-12
329,CC-12
330,PH-23
331,CC-12
332,CC-12
333,CC-12
334,CC-12
335,CC-12
336,CC-12
337,CC-12
338,CC-12
339,CC-12
340,CC-12
341,CC-12
342,CC-12
343,CC-12
344,CC-12
345,CC-12
346,CC-12
347,CC-12
348,CC-12
349,CC-12
350,DP-10
351,DP-10
352,DP-10
353,CC-12
354,CC-12
355,CC-12
356,CC-12
357,VT-11
358,VT-11
359,VT-11
360,VT-11
361,VT-11
362,VT-11
363,VT-11
364,VT-11
365,SN-16
366,VT-11
367,VT-11
368,KS-09
369,DD-18
370,VT-11
371,VT-11
372,VT-11
373,VT-11
374,VT-11
375,VT-11
376,VT-11
377,VT-11
378,XK-15
379,XK-15
380,XK-15
381,AT-08
382,AT-08
383,VT-11
384,VT-11
385,VT-11
386,VT-11
387,CC-12
388,XK-15
389,KS-09
390,AT-06
391,AT-06
392,DP-10
393,AT-06
394,AT-08
395,AT-06
396,AT-06
397,AT-06
398,AT-06
399,AT-06
400,AT-06
401,DP-10
402,CC-12
403,DP-10
404,AT-08
405,XK-15
406,PC-03
407,KS-09
408,AT-08
409,DP-10
410,QL-01
411,DP-10
412,XK-15
413,DP-10
414,QL-01
415,AT-06
416,KS-09
417,CC-12
418,CC-12
419,CC-12
420,CC-12
421,CC-12
422,CC-12
423,CC-12
424,CC-12
425,CC-12
426,CC-12
427,CC-12
428,CC-12
429,CC-12
430,CC-12
431,CC-12
432,CC-12
433,CC-12
434,CC-12
435,CC-12
436,CC-12
437,AT-08
438,CC-12
439,CC-12
440,AT-08
441,CC-12
442,GT-04
443,AT-08
444,CC-12
445,CC-12
446,CC-12
447,XK-15
448,DP-10
449,XK-15
450,XK-15
451,XK-15
452,XK-15
453,XK-15
454,CC-12
455,XK-15
456,XK-15
457,XK-15
458,CC-12
459,XK-15
460,XK-15
461,XK-15
462,CC-12
463,CC-12
464,DP-10
465,DP-10
466,DP-10
467,DP-10
468,DP-10
469,DP-10
470,DP-10
471,CC-12
472,PH-19
473,DP-10
474,XK-15
475,XK-15
476,DP-10
477,CC-12
478,XK-15
479,XK-15
480,XK-15
481,XK-15
482,CC-12
483,XK-15
484,XK-15
485,XK-15
486,XK-15
487,XK-15
488,XK-15
489,CC-12
490,XK-15
491,DP-10
492,KS-09
493,XK-15
494,XK-15
495,XK-15
496,XK-15
497,XK-15
498,CC-12
499,CC-12
500,XK-15
501,XK-15
502,SN-16
503,XK-15
504,XK-15
505,XK-15
506,PH-19
507,XK-15
508,XK-15
509,SN-16
510,SN-16
511,XK-15
512,XK-15
513,XK-15
514,XK-15
515,XK-15
516,XK-15
517,XK-15
518,XK-15
519,XK-15
520,XK-15
521,XK-15
522,XK-15
523,DP-10
524,XK-15
525,XK-15
526,XK-15
527,XK-15
528,XK-15
529,XK-15
530,XK-15
531,XK-15
532,PH-19
533,XK-15
534,DP-10
535,PH-19
536,XK-15
537,CC-12
538,NK-14
539,NK-14
540,NK-14
541,NK-14
542,NK-14
543,CC-12
544,CC-12
545,CC-12
546,NK-14
547,NK-14
548,AT-08
549,AT-07
550,KS-09
551,NK-14
552,CC-12
553,CC-12
554,CC-12
555,DP-10
556,CC-12
557,NK-14
558,NK-14
559,NK-14
560,CC-12
561,DD-18
562,DP-10
563,DP-10
564,AT-07
565,NK-14
566,CC-12
