"severity","type","rule","component","line","message"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/staff/pages/ExamHistoryScreen.test.jsx","160","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/staff/pages/ExamHistoryScreen.test.jsx","174","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/staff/pages/ExamHistoryScreen.test.jsx","183","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/staff/pages/ExamHistoryScreen.test.jsx","201","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S5906","carehub-hoangnam:carehub-frontend/src/features/staff/pages/competency/ProfessionalCompetencyDashboard.test.jsx","160","Prefer ""expect(screen.getAllByText(/Kiá»m soÃ¡t nhiá»m khuáº©n Â· Háº¡n/)).toHaveLength(2)"" over this generic assertion for better reporting; it works on any object with a numeric length property."
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/training/pages/ActivityTypeListPage.test.jsx","366","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ScoringFormulaPage.test.jsx","285","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ScoringFormulaPage.test.jsx","298","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ScoringFormulaPage.test.jsx","375","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ScoringFormulaPage.test.jsx","384","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/evaluation/pages/CompetencyByFieldPage.test.jsx","214","Prefer `findByText` query over using `waitFor` + `getByText`"
"BLOCKER","CODE_SMELL","javascript:S2699","carehub-hoangnam:carehub-frontend/src/features/evaluation/pages/ComplianceByTechniquePage.test.jsx","118","Add at least one assertion to this test case."
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ComplianceTargetSettingsPage.test.jsx","262","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/EmailTemplateFormPage.test.jsx","205","Prefer `findByRole` query over using `waitFor` + `getByRole`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","99","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","297","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","311","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","335","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","350","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","388","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","401","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","412","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","421","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","435","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","446","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","461","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","471","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","483","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","495","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","503","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","514","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","527","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","542","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","560","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","572","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","583","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","594","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","615","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","627","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","647","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/FormMetadataFormPage.test.jsx","649","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceDepartmentsListPage.test.jsx","299","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceDepartmentsListPage.test.jsx","302","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceDepartmentsListPage.test.jsx","313","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceDepartmentsListPage.test.jsx","317","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceDepartmentsListPage.test.jsx","325","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceDepartmentsListPage.test.jsx","328","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceEmployeesListPage.test.jsx","123","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceEmployeesListPage.test.jsx","147","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceEmployeesListPage.test.jsx","162","Prefer `findByText` query over using `waitFor` + `getByText`"
"MINOR","CODE_SMELL","javascript:S9020","carehub-hoangnam:carehub-frontend/src/features/admin/pages/ReferenceEmployeesListPage.test.jsx","206","Prefer `findByText` query over using `waitFor` + `getByText`"
